name_tovar_ua;alias;kod_tovar;brend;price;dlina;glubina;visota;spalnoe;image;mimage1;mimage2;mimage3;mimage4;mimage5;mimage6;mimage7;mimage8;mimage9;mimage10;mimage11;color;proizvod;zag_razmer;material
Ліжко Софія (з ящиками);;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац: 1600*2000мм, висота - 850мм;
Ліжко Спейс;;;MX;0;;;;;;;;;;;;;;;;;;;Під матрац: 900*2000мм, 1600*2000мм. ;
Ліжко Стар;;;MX;0;;;;;;;;;;;;;;;;;;;"Під матрац: 1600*2000 мм; висота узголів'я - 750мм";
Ліжко Стефанія;;;MX;0;;;;;;;;;;;;;;;;;;;"Доступні розміри під матрац: 1600*2000; 1800*2000.";
Ліжко Фантазія;;;MX;0;;;;;;;;;;;;;;;;;;;" 1600*2000; ";
Ліжко Феліція;;;MX;0;;;;;;;;;;;;;;;;;;;"Доступні розміри під матрац: 1600*2000; 1800*2000.";
Ліжко Флоренція (МАСИВ ДУБА) 1,6м;;;MX;0;;;;;;;;;;;;;;;;;;;1600*2000мм;
Ліжко Челсі;;;MX;0;;;;;;;;;;;;;;;;;;;<strong>Доступні розміри під матрац:</strong>;
Ліжко Шопен;;;MX;0;;;;;;;;;;;;;;;;;;;" 1600*2000; ";
Трюмо Маргарита;;;MX;0;;;;;;;;;;;;;;;;;;;В: 750 мм Г: 400 мм Ш: 1050 мм;
Тумба Асоль;;;MX;0;;;;;;;;;;;;;;;;;;;440/660/395;
ТУМБА ЛАНІТА;;;MX;0;;;;;;;;;;;;;;;;;;; В*Ш*Г - 500*430*420;
Тумба Марія;;;MX;0;;;;;;;;;;;;;;;;;;; 450/460/450;
Тумба Маргарита;;;MX;0;;;;;;;;;;;;;;;;;;; 500*400*480;
